length,width,mass,hatch,hatch_10
61.2,31.3,35,Si,1
47.6,27.6,23,Si,1
62.5,30.7,34,Si,1
60.5,31.3,35,Si,1
53,27.6,23,No,0
66.6,29.4,30,No,0
49.3,28.2,23,Si,1
40.2,28,18,No,0
44,28,20,No,0
50,29,25,Si,1
48,28.6,24,Si,1
52,29.5,22,No,0
51,29.5,22,No,0
56,29.3,29,Si,1
61.4,30.4,34,No,0
56.1,28.6,29,No,0
51.2,30.3,29,Si,1
60.6,29,32,No,0
40,21,12,No,0
61.6,31.3,37,Si,1
53.4,30.2,30,Si,1
54.8,30,30,No,0
42.5,23.8,12,Si,1
40.7,21,11,No,0
42,21.2,12,Si,1
43.2,24.4,14,Si,1
52.6,30.5,30,Si,1
58.3,30.6,32,Si,1
62.4,32.2,38,No,0
52.6,30,29,No,0
53.2,29.8,29,Si,1
39.8,22.3,13,No,0
46.4,21.4,13,No,0
65.5,32.3,43,Si,1
60.4,29,28,No,0
45,25.5,17,Si,1
45.2,25.2,16,Si,1
45.7,29,24,No,0
53,31,33,No,0
64.4,31.4,40,No,0
48,22.1,16,No,0
46.6,21.4,15,No,0
45.2,24.75,17,Si,1
59.5,30,35,Si,1
56.7,31.1,35,No,0
45.3,25,NA,Si,1
53.7,30.6,NA,No,0
55.5,28.2,NA,Si,1
64.6,29.5,NA,No,0
40.85,21.45,NA,No,0
57.5,28.8,27,No,0
49.8,30,27,No,0
54.15,30.8,32,Si,1
61.09,29.89,35,Si,1
62.26,31.81,37,Si,1
46.64,25.69,18,Si,1
45.69,22.58,14,No,0
51.16,30.26,29,Si,1
55.92,31.03,33,Si,1
44.66,23.3,16,No,0
47.02,22.32,15,No,0
59.45,31.45,36,Si,1
61.4,32.01,39,Si,1
63.9,30.84,38,No,0
48.35,25.96,19,Si,1
57.8,29.31,32,Si,1
56.91,31.5,35,Si,1
47.17,23.86,17,No,0
48.78,22.09,17,No,0
43.54,22.24,14,No,0
63.04,30.83,37,Si,1
65.28,32,42,No,0
48.78,26.56,20,Si,1
44.6,23.18,14,No,0
54.45,30.09,32,Si,1
63.42,31.27,38,No,0
55.92,31.12,33,Si,1
50.04,26.11,22,Si,1
65.2,32.5,45,Si,1
69.71,29.95,43,Si,1
44.77,23.3,16,No,0
53.4,30.77,32,No,0
50.6,24.32,20,No,0
49.2,25.55,20,No,0
54.64,31.17,33,Si,1
54.59,29.92,31,No,0
51.16,28.28,25,Si,1
56.14,31.23,33,Si,1
